49	37	01	190	3700750			Chatham County Schools	NO	1	www.chatham.k12.nc.us		9195423626	PO Box 128			Pittsboro	NC	27312	0128	369 West St			Pittsboro	NC	27312		1			NOTCHR		
50	37	01	19A	3700020			Chatham Charter	NO	7	www.chathamcharter.org/		9197424550	PO Box 245			Siler City	NC	27344		2200 Hamp Stone Rd			Siler City	NC	27344		1			CHRTIDEA		
51	37	01	19B	3700053			Woods Charter School	NO	7	www.woodscharter.org		9199608353	160 Woodland Grove Ln			Chapel Hill	NC	27516		160 Woodland Grove Ln			Chapel Hill	NC	27516		1			CHRTIDEA		
52	37	01	19C	3700341			Willow Oak Montessori	NO	7	https://www.willowoakmontessori.org/public-charter-school		9192407787	1476 Andrews Store Road			Pittsboro	NC	27312		1476 Andrews Store Road			Pittsboro	NC	27312		1			CHRTIDEA		
53	37	01	200	3700780			Cherokee County Schools	NO	1	www.cherokee.k12.nc.us/		8288372722	911 Andrews Road			Murphy	NC	28906	3501	911 Andrews Road			Murphy	NC	28906	3501	1			NOTCHR		
54	37	01	209	3700153			Cherokee Central Schools	NO	6	www.ccs-nc.org		8285545001	PO Box 134			Cherokee	NC	28719	0134	86 Elk Crossing Lane			Cherokee	NC	28719		1			NOTCHR		
55	37	01	20A	3700021			The Learning Center	NO	7	www.naturallygrownkids.org		8288357240	945 Conaheeta Street			Murphy	NC	28906		945 Conaheeta Street			Murphy	NC	28906		1			CHRTIDEA		
56	37	01	210	3700840			Edenton-Chowan Schools	NO	1	w.ecps.k12.nc.us		2524824436	PO Box 206			Edenton	NC	27932	0206	800 N Oakum Street			Edenton	NC	27932		1			NOTCHR		
57	37	01	220	3700870			Clay County Schools	NO	1	www.clayschools.org		8283898513	154 Yellow Jacket Drive			Hayesville	NC	28904		154 Yellow Jacket Drive			Hayesville	NC	28904		1			NOTCHR		
58	37	01	230	3700900			Cleveland County Schools	NO	1	www.clevelandcountyschools.org/		7044768000	400 West Marion Street			Shelby	NC	28150		400 West Marion Street			Shelby	NC	28150		1			NOTCHR		
59	37	01	23A	3700353			Pinnacle Classical Academy	NO	7	http://www.pinnacleclassicalacademy.com		7047404035	2401 Joes Lake Rd			Shelby	NC	28152		2401 Joes Lake Rd			Shelby	NC	28152		1			CHRTIDEA		
60	37	01	240	3700960			Columbus County Schools	NO	1	www.columbus.k12.nc.us		9106425168	PO Box 729			Whiteville	NC	28472	0729	817 Washington Street			Whiteville	NC	28472		1			NOTCHR		
61	37	01	241	3704920			Whiteville City Schools	NO	1	www.whiteville.k12.nc.us/		9106424116	107 W Walter Street			Whiteville	NC	28472	4019	107 W Walter Street			Whiteville	NC	28472	4019	1			NOTCHR		
62	37	01	24B	3700349			Thomas Academy	NO	7	http://www.thomasacademync.org		9106462237	PO Box 300			Lake Waccamaw	NC	28450		302 Rube MCCRAY Circle			Lake Waccamaw	NC	28450		1			CHRTIDEA		
63	37	01	24D	3700461			Davis Academy Chadbourn	NO	7	www.davisacademy.us		9102126840	PO Box 31274			Charlotte	NC	28231		No street address			Chadbourn	NC	28431		7			CHRTIDEA		
