Table,Column,DataType,Suggestion1,Score1,Suggestion2,Score2,Suggestion3,Score3,ChosenGlobalId (fill in),Notes
IndicatorStatusCustomType,Code,nvarchar,ISO 639-2 Language Code (000317),0.76,ISO 639-3 Language Code (001637),0.7596,Country Code (000050),0.7459,,
StateDefinedCustomIndicator,Code,nvarchar,ISO 639-2 Language Code (000317),0.76,ISO 639-3 Language Code (001637),0.7596,Country Code (000050),0.7459,,
SchoolPerformanceIndicators,SchoolPerformanceIndicatorCategory,varchar,School Quality or Student Success Indicator Type (002140),0.7573,Assessment Performance Level Label (000718),0.7172,Assessment Performance Level Score Metric (000417),0.7134,,
PsInstitution,Website,varchar,Organization Website (200273),0.7569,Web Site Address (000704),0.6965,Has Organization Website (600518),0.6204,,
SchoolPerformanceIndicatorStateDefinedStatus,RefSchoolPerformanceIndicatorStateDefinedStatusId,int,School Quality or Student Success Indicator Type (002140),0.7491,Progress Achieving English Language Proficiency State Defined Status (001916),0.74,Assessment Performance Level Label (000718),0.711,,
K12Organization,LEA_CharterLeaStatus,varchar,Charter School Indicator (000039),0.7485,Local Education Agency Operational Status (000174),0.6643,Local Education Agency Type (000537),0.6408,,
Assessment,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
AssessmentResult,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
CharterSchoolAuthorizer,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
CharterSchoolManagementOrganization,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
Disability,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
Discipline,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
DisciplineReason,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
EducationOrganizationNetwork,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
FollowUp,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
IncidentBehavior,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12Enrollment,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12Organization,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12PersonRace,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12SchoolComprehensiveSupportIdentificationType,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12StaffAssignment,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
K12StudentAddress,RunDateTime,datetime,Start Time (001919),0.748,Record Start Date Time (001917),0.7438,Activity Time Involved (001527),0.7265,,
